Usia,IPK,SKD,Wawancara,Mengajar,Lulus,Lokasi,Lektor
35,3.58,30.764,14.0,14.8,1,"5631. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",tidak
35,3.71,30.4,15.2,18.8,0,"5631. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",tidak
34,3.69,29.673,20.0,19.2,0,"5631. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",tidak
30,3.73,29.818,14.8,16.0,0,"5631. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",tidak
29,3.77,29.018,15.6,13.6,0,"5631. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",tidak
28,3.95,27.054,19.6,19.2,1,2782. POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH JURUSAN BUDIDAYA TANAMAN PANGAN ,tidak
29,3.59,27.127,19.6,16.8,0,2782. POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH JURUSAN BUDIDAYA TANAMAN PANGAN ,tidak
27,3.88,26.546,18.0,14.0,0,2782. POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH JURUSAN BUDIDAYA TANAMAN PANGAN ,tidak
27,3.42,29.236,20.0,19.6,1,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
27,3.95,31.782,20.0,20.0,1,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
27,3.56,32.8,12.8,20.0,1,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
26,3.76,29.6,19.6,19.6,1,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
27,3.85,29.164,10.8,10.8,1,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
27,3.54,27.418,12.0,12.8,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
27,3.05,28.146,10.8,12.4,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
25,3.84,31.273,19.6,20.0,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
28,3.53,30.327,20.0,19.2,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
29,3.61,32.364,10.8,8.8,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
27,3.6,31.418,10.8,6.0,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
27,3.6,29.091,11.2,8.0,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
28,3.34,26.691,13.2,7.6,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
25,3.88,31.491,10.4,8.8,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
25,3.58,26.109,12.0,8.4,0,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
31,3.94,31.054,20.0,19.2,1,1761. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,tidak
34,3.91,30.036,10.8,12.4,1,4263. UNIVERSITAS NEGERI MAKASSAR FAKULTAS ILMU SOSIAL ,tidak
33,3.68,30.036,9.2,9.6,0,4263. UNIVERSITAS NEGERI MAKASSAR FAKULTAS ILMU SOSIAL ,tidak
32,3.65,29.018,7.6,10.4,0,4263. UNIVERSITAS NEGERI MAKASSAR FAKULTAS ILMU SOSIAL ,tidak
29,3.94,30.182,15.2,14.8,1,"5552. UNIVERSITAS SRIWIJAYA FAKULTAS TEKNIK 2
",tidak
31,3.93,28.509,19.6,16.8,0,"5552. UNIVERSITAS SRIWIJAYA FAKULTAS TEKNIK 2
",tidak
30,3.66,31.782,14.8,18.8,0,2200. POLITEKNIK NEGERI JEMBER JURUSAN PRODUKSI PERTANIAN ,tidak
27,3.71,33.382,18.4,14.0,1,2096. POLITEKNIK NEGERI INDRAMAYU JURUSAN TEKNIK INFORMATIKA ,tidak
31,3.22,33.527,18.4,11.6,1,2096. POLITEKNIK NEGERI INDRAMAYU JURUSAN TEKNIK INFORMATIKA ,tidak
28,3.79,34.182,20.0,17.6,1,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
31,3.69,30.836,19.6,16.4,1,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
31,3.92,29.964,20.0,18.4,1,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
32,3.85,32.0,19.2,16.0,1,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
25,3.6,30.327,19.2,16.0,1,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
33,3.62,29.382,19.6,16.0,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.78,31.854,18.0,16.4,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.49,30.618,14.4,18.4,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
27,3.55,30.4,18.4,14.8,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.67,30.982,18.0,15.6,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
32,3.77,29.091,15.2,14.8,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
32,3.59,30.254,12.4,11.2,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
34,3.7,30.909,17.2,15.2,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.65,29.454,0.0,0.0,0,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.88,30.109,20.0,17.2,1,4452. UNIVERSITAS NEGERI MEDAN FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
32,3.62,31.418,19.2,18.4,1,"4480. UNIVERSITAS NEGERI PADANG FAKULTAS EKONOMI 3
",tidak
25,3.7,32.509,17.6,15.6,1,"4480. UNIVERSITAS NEGERI PADANG FAKULTAS EKONOMI 3
",tidak
27,3.56,26.618,20.0,14.4,1,"4480. UNIVERSITAS NEGERI PADANG FAKULTAS EKONOMI 3
",tidak
33,3.65,31.127,19.6,19.6,1,5492. UNIVERSITAS SINGAPERBANGSA KARAWANG FAKULTAS PERTANIAN ,tidak
29,3.89,30.909,18.0,18.0,0,5492. UNIVERSITAS SINGAPERBANGSA KARAWANG FAKULTAS PERTANIAN ,tidak
27,4.0,30.109,18.0,17.6,0,5492. UNIVERSITAS SINGAPERBANGSA KARAWANG FAKULTAS PERTANIAN ,tidak
31,3.82,31.2,11.2,10.0,1,3194. UNIVERSITAS HALU OLEO FAKULTAS KESEHATAN MASYARAKAT JURUSAN KESEHATAN MASYARAKAT ,tidak
30,3.55,29.891,12.0,11.2,1,3194. UNIVERSITAS HALU OLEO FAKULTAS KESEHATAN MASYARAKAT JURUSAN KESEHATAN MASYARAKAT ,tidak
33,3.53,32.582,20.0,20.0,0,3194. UNIVERSITAS HALU OLEO FAKULTAS KESEHATAN MASYARAKAT JURUSAN KESEHATAN MASYARAKAT ,tidak
