Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
6-Aug,91,"3,168","1,455",182,135,497,"15,006",116,"4,252","6,309","16,732",371,"1,078","1,310","3,730",265,321,"1,378","2,009",787,"1,457","1,860",664,"7,010",194,219,360,850,779,345,"1,520",151,129,915,,
7-Aug,91,"3,208","1,473",185,148,525,"15,201",117,"4,315","6,503","17,221",374,"1,136","1,337","3,851",265,322,"1,405","2,099",797,"1,487","1,912",678,"7,084",195,221,369,854,786,350,"1,743",158,130,"1,017",,
8-Aug,91,"3,240","1,473",188,148,552,"15,710",117,"4,352","6,571","17,685",374,"1,164","1,377","3,894",265,322,"1,413","2,170",802,"1,575","2,036",681,"7,153",195,226,373,854,790,362,"1,743",165,130,"1,115",,
9 Aug,91,"3,269","1,474",189,148,570,"16,268",118,"4,417","6,633","18,050",380,"1,179","1,414","4,030",266,322,"1,427","2,234",805,"1,618","2,071",693,"7,211",195,226,382,854,791,362,"1,848",172,130,"1,115",,
10 Aug,91,"3,308","1,475",189,149,593,"16,446",118,"4,444","6,787","18,417",380,"1,262","1,448","4,054",279,331,"1,437","2,312",814,"1,638","2,098",714,"7,266",195,227,404,858,803,385,"1,878",172,130,"1,134",,
11 Aug,91,"3,356","1,484",189,151,609,"16,630",118,"4,483","6,877","18,780",380,"1,330","1,458","4,136",279,337,"1,492","2,371",823,"1,689","2,138",721,"7,388",195,228,426,871,856,391,"1,934",178,131,"1,190",,
12 Aug,191,"3,388","1,502",195,151,633,"17,449",119,"4,554","7,008","19,125",380,"1,381","1,488","4,222",279,338,"1,545","2,372",834,"1,719","2,189",731,"7,450",196,230,437,922,885,399,"1,949",178,137,"1,190",,
13 Aug,191,"3,425","1,551",195,158,646,"17,836",119,"4,583","7,111","19,548",398,"1,411","1,558","4,248",286,349,"1,593","2,415",854,"1,739","2,337",769,"7,510",197,234,484,958,909,418,"1,958",187,137,"1,246",,
14 Aug,191,"3,484","1,560",195,158,658,"18,528",120,"4,591","7,164","20,016",399,"1,478","1,580","4,305",286,365,"1,611","2,527",869,"1,821","2,438",812,"7,630",197,234,536,958,910,437,"1,962",191,137,"1,271",,
15 Aug,191,"3,526","1,580",195,158,662,"19,054",121,"4,627","7,223","20,471",405,"1,490","1,610","4,341",286,371,"1,626","2,563",888,"1,876","2,511",821,"7,691",197,247,581,"1,006",937,439,"1,997",203,138,"1,289",,
